FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
09122021;9;19.90;90.00;1506.00;320;4;JUJUY U N
09122021;15;21.20;83.00;1488.00;320;4;JUJUY U N
09122021;0;21.20;56.00;1015.90;360;9;JUNIN AERO
09122021;1;20.80;57.00;1016.10;50;11;JUNIN AERO
09122021;0;21.00;80.00;1018.40;90;11;LA PLATA AERO
09122021;1;21.50;73.00;1018.20;90;11;LA PLATA AERO
09122021;0;11.00;74.00;3124.00;0;0;LA QUIACA OBSERVATORIO
09122021;1;9.80;83.00;3118.00;0;0;LA QUIACA OBSERVATORIO
09122021;0;22.00;88.00;1011.80;230;15;LA RIOJA AERO
09122021;1;21.60;86.00;1012.20;230;19;LA RIOJA AERO
09122021;0;20.90;83.00;1017.10;180;7;LABOULAYE AERO
09122021;1;20.60;86.00;1016.50;180;4;LABOULAYE AERO
09122021;6;17.10;89.00;1017.10;90;4;LAS FLORES
09122021;9;21.40;67.00;1018.40;50;7;LAS FLORES
09122021;6;20.60;73.00;1010.80;90;11;LAS LOMITAS
09122021;7;21.00;72.00;1011.40;90;11;LAS LOMITAS
09122021;0;12.40;83.00;1558.00;250;4;MALARGUE AERO
09122021;1;12.40;87.00;1556.00;0;0;MALARGUE AERO
09122021;0;13.30;71.00;1570.00;50;9;MAQUINCHAO
09122021;3;10.00;76.00;1560.00;50;4;MAQUINCHAO
09122021;0;18.30;89.00;1020.60;50;11;MAR DEL PLATA AERO
09122021;1;18.10;91.00;1020.20;50;15;MAR DEL PLATA AERO
09122021;0;20.50;65.00;1013.40;90;17;MARCOS JUAREZ AERO
09122021;1;21.00;67.00;1013.10;90;17;MARCOS JUAREZ AERO
09122021;8;21.20;69.00;1018.30;50;15;MARIANO MORENO AERO
09122021;9;22.20;66.00;1018.30;50;24;MARIANO MORENO AERO
09122021;0;18.00;85.00;1017.70;200;26;MENDOZA AERO
09122021;1;17.50;85.00;1017.90;180;24;MENDOZA AERO
09122021;0;17.60;81.00;1549.00;180;33;MENDOZA OBSERVATORIO
09122021;3;15.50;95.00;1539.00;180;15;MENDOZA OBSERVATORIO
09122021;9;23.00;57.00;1015.50;110;17;MERCEDES AERO (CTES)
09122021;10;25.40;53.00;1014.70;110;11;MERCEDES AERO (CTES)
09122021;0;21.00;79.00;1019.40;90;13;MERLO AERO
09122021;3;21.00;70.00;1019.10;50;13;MERLO AERO
09122021;9;23.60;66.00;1569.00;180;4;METAN
09122021;15;31.60;45.00;1542.00;50;4;METAN
09122021;0;23.00;56.00;1015.30;70;9;MONTE CASEROS AERO
09122021;1;21.80;61.00;1015.10;90;4;MONTE CASEROS AERO
09122021;0;22.00;64.00;1016.60;90;6;MORON AERO
09122021;1;21.70;65.00;1016.40;50;7;MORON AERO
09122021;0;13.20;77.00;1025.00;110;9;NEUQUEN AERO
09122021;1;12.40;80.00;1024.30;110;7;NEUQUEN AERO
09122021;9;20.10;82.00;1017.50;50;7;NUEVE DE JULIO
09122021;12;23.40;73.00;1017.50;0;0;NUEVE DE JULIO
09122021;9;23.80;62.00;1013.90;360;4;OBERA
09122021;15;34.80;69.00;1013.90;360;4;OBERA
09122021;6;16.40;95.00;1018.00;90;15;OLAVARRIA AERO
09122021;7;16.60;97.00;1018.50;90;15;OLAVARRIA AERO
09122021;0;27.50;69.00;1008.30;360;15;ORAN AERO
09122021;3;25.70;80.00;1007.20;360;9;ORAN AERO
09122021;0;21.90;53.00;1015.20;140;7;PARANA AERO
09122021;1;21.40;54.00;1014.80;140;11;PARANA AERO
09122021;9;12.30;49.00;1018.80;0;0;PASO DE INDIOS
09122021;10;14.90;38.00;1017.60;50;7;PASO DE INDIOS
09122021;0;22.40;55.00;1015.00;90;20;PASO DE LOS LIBRES AERO
09122021;1;22.10;57.00;1015.00;90;22;PASO DE LOS LIBRES AERO
09122021;6;18.00;93.00;1017.40;200;9;PEHUAJO AERO
09122021;7;18.60;96.00;1017.80;180;11;PEHUAJO AERO
09122021;9;15.30;43.00;1017.20;140;9;PERITO MORENO AERO
09122021;10;17.90;38.00;1016.80;270;24;PERITO MORENO AERO
09122021;9;14.60;91.00;1019.40;180;15;PIGUE AERO
09122021;10;14.80;89.00;1019.30;160;15;PIGUE AERO
09122021;0;22.10;75.00;1016.80;160;17;PILAR OBSERVATORIO
09122021;3;19.50;92.00;1015.80;200;9;PILAR OBSERVATORIO
09122021;0;23.20;47.00;1012.60;160;13;POSADAS AERO
09122021;1;22.70;49.00;1012.30;140;15;POSADAS AERO
09122021;0;25.80;63.00;1012.60;90;9;PRESIDENCIA ROQUE SAENZ PEÑA AERO
09122021;1;25.70;62.00;1012.80;90;11;PRESIDENCIA ROQUE SAENZ PEÑA AERO
09122021;6;8.80;76.00;1021.30;360;33;PUERTO DESEADO AERO
09122021;7;9.20;74.00;1020.90;360;44;PUERTO DESEADO AERO
09122021;8;11.40;74.00;1022.80;180;11;PUERTO MADRYN AERO
09122021;9;12.80;69.00;1022.30;160;11;PUERTO MADRYN AERO
09122021;9;21.50;70.00;1020.10;70;26;PUNTA INDIO B.A.
